,geo,lon,lat,-1,0,1,neg_percent
0,53000 Laval,-0.772562,48.061435,0.0,0.0,2.0,0
1,65000 Tarbes,0.065776,43.239085,0.0,0.0,2.0,0
2,91940 Les Ulis,55.439398,-20.903142,0.0,0.0,2.0,0
3,Albertville (73),6.393809,45.669904,0.0,0.0,2.0,0
4,Albi (81),2.15166,43.929999,0.0,0.0,2.0,0
5,Alfortville (94),2.421524,48.797176,0.0,0.0,2.0,0
6,Amiens (80),2.29248,49.903034,0.0,0.0,2.0,0
7,Angers,-0.56191,47.466735,0.0,2.0,2.0,0
8,Angers (49),-0.56191,47.466735,0.0,0.0,4.0,0
9,Annecy (74),6.125316,45.901548,0.0,2.0,4.0,0
10,Annemasse (74),6.243413,46.189665,0.0,2.0,2.0,0
11,Antibes (06),7.103245,43.582206,2.0,2.0,8.0,17
12,Arras,2.768267,50.287896,0.0,0.0,2.0,0
13,Arras (62),2.768267,50.287896,0.0,0.0,6.0,0
14,Auray (56),-2.990838,47.668099,0.0,0.0,4.0,0
15,Avignon (84),-1.759717,48.390709,2.0,2.0,8.0,17
16,Avranches (50),-1.345577,48.675387,0.0,0.0,4.0,0
17,Barentin,0.949823,49.544169,0.0,2.0,0.0,0
18,"Barentin, A7",0.949823,49.544169,0.0,0.0,2.0,0
19,Bayonne (64),-1.466564,43.488544,0.0,0.0,2.0,0
20,Beaucouzé (49),-0.62872,47.477336,0.0,0.0,2.0,0
21,Beauvais (60),-1.778035,47.957847,0.0,0.0,2.0,0
22,Belfort (90),-61.004454,14.647746,0.0,0.0,2.0,0
23,Belley (01),5.688373,45.754371,2.0,0.0,0.0,100
24,Bernay,0.597084,49.089442,0.0,0.0,2.0,0
25,Besançon (25),6.000637,47.243779,0.0,0.0,4.0,0
26,Blois (41),1.316402,47.581246,0.0,0.0,2.0,0
27,"Bonn, DE",-0.1196,44.93793,0.0,0.0,2.0,0
28,Bordeaux (33),-0.587877,44.851895,0.0,2.0,6.0,0
29,Bourges,1.861995,42.962794,0.0,0.0,4.0,0
30,Bourges (18),1.861995,42.962794,0.0,0.0,2.0,0
31,Brest,-4.497736,48.406435,0.0,0.0,2.0,0
32,Brest (29),-4.497736,48.406435,0.0,0.0,10.0,0
33,Brignoles,6.073101,43.406245,0.0,0.0,2.0,0
34,Béthune (62),4.712138,44.712355,0.0,0.0,2.0,0
35,Béziers,2.504717,42.639086,0.0,2.0,2.0,0
36,Caen,-0.372291,49.184571,0.0,0.0,2.0,0
37,Caen (14),-0.372291,49.184571,0.0,4.0,10.0,0
38,"Caen, 99",-0.372291,49.184571,0.0,2.0,6.0,0
39,Cahors (46),-1.821881,47.774587,0.0,0.0,2.0,0
40,Calais,1.866112,50.951564,0.0,0.0,2.0,0
41,Calais (62),1.866112,50.951564,0.0,4.0,0.0,0
42,Cambrai (59),3.240712,50.172628,0.0,0.0,2.0,0
43,Cannes (06),7.004585,43.555468,0.0,0.0,2.0,0
44,Castres (81),2.240055,43.609339,0.0,0.0,2.0,0
45,Caudan (56),-2.918721,48.082717,4.0,0.0,6.0,40
46,Cergy (95),2.046317,49.042161,2.0,0.0,2.0,50
47,"Cergy, A8",8.990326,41.621196,0.0,2.0,0.0,0
48,Chambéry (73),2.88889,48.999843,2.0,0.0,8.0,20
49,"Chambéry, B9",-2.849711,48.414107,0.0,0.0,2.0,0
50,Chartres (28),1.502286,48.446525,0.0,2.0,0.0,0
51,Chaumont (52),5.129315,48.099428,0.0,0.0,2.0,0
52,Courbevoie,2.256986,48.897998,0.0,0.0,2.0,0
53,Courbevoie (92),2.256986,48.897998,0.0,2.0,0.0,0
54,Courcouronnes (91),2.40963,48.615221,0.0,2.0,2.0,0
55,Creil (60),2.478561,49.257474,0.0,0.0,2.0,0
56,Crest (26),5.015718,44.728454,0.0,0.0,2.0,0
57,Dax (40),1.746158,43.412631,0.0,2.0,0.0,0
